20, 18741.5462194, 4.0522066, 21.0401157, 4308499.4406796, 17709.9451825, 4.0210129, 20.8481057, 5278097.1672224, 18554.1542136, 4.1866226, 20.9735227, 4960674.7086812, 18040.721464, 3.2475759, 20.7831696, 4535901.9794401, 17188.2210599, 3.5535467, 20.8725752, 5949366.3515487, 17772.365799, 4.1994397, 20.3624543, 5656521.8806523, 18519.1491508, 4.2984475, 20.8255237, 5584308.6495369, 17659.6304381, 3.909818, 21.0428218, 5201799.590414, 17709.7913526, 3.8263535, 20.9090183, 4842620.4601057, 17730.7097126, 4.4655437, 20.5974359, 5107046.3107626, 18572.2676343, 3.8205422, 20.7440612, 4835669.3578166, 18114.6037387, 2.8972523, 20.4025897, 4247096.1325496, 17831.9573349, 3.9094337, 20.7909755, 5105838.7694834, 18516.8149391, 3.4665317, 20.9748127, 5432222.6675668, 17037.5353061, 3.9895789, 20.6245674, 5734014.3688816, 17319.4428806, 3.4049929, 21.0271155, 5920050.2364705, 19046.6156369, 3.7571158, 20.8668228, 4684583.2370654, 18063.4705781, 3.7517132, 20.7565664, 4023590.3125382, 17267.7103404, 3.454013, 20.8288952, 5022827.483829, 17657.6467824, 4.5760696, 20.8787313, 3608685.5530511, 17822.3697329, 3.8939569, 20.2959254, 4531720.3503941, 18193.772203, 3.9545235, 20.8514962, 5381288.3105371, 18735.6545947, 3.6619036, 20.5677051, 5558174.8268458, 18598.4315538, 3.6278306, 20.8007778, 6052000.220861, 18767.7490331, 3.9860078, 21.0924089, 4169952.8828318, 17633.0415432, 4.331129, 21.0012479, 5688527.4419349, 18164.5516591, 4.1508554, 20.803932, 4836167.0840544, 17887.9042939, 3.2312838, 20.7927618, 4852331.8806932, 18292.459579, 3.7326171, 20.7449361, 5322189.365081, 18180.9507974, 4.001131, 20.9235384, 5771258.4857161
40, 17726.8467028, 3.8387451, 20.9825256, 4058955.6969619, 17709.9451825, 3.5876987, 20.6517896, 3705220.0477555, 18387.6298771, 3.756325, 20.2410681, 4726570.6279111, 17056.604344, 3.2475759, 20.6616635, 4535901.9794401, 17036.42546, 3.5535467, 20.6647269, 5308023.3188347, 17772.365799, 4.0643926, 20.3624543, 4475480.7304141, 17648.4594785, 4.1686857, 20.6780782, 5584308.6495369, 17659.6304381, 3.909818, 20.9423294, 3991979.4152664, 17709.7913526, 3.3384469, 20.6660691, 4825806.7935555, 17730.7097126, 4.2298903, 20.5974359, 4226172.397163, 16947.8482594, 3.8205422, 20.4534339, 4835669.3578166, 18072.2050156, 2.8972523, 20.4025897, 4066687.709952, 17831.9573349, 3.9094337, 20.3216523, 5105838.7694834, 18272.8650122, 3.4665317, 20.7800591, 4840192.6077122, 17037.5353061, 3.7778321, 20.5603543, 4307875.4015242, 17319.4428806, 3.1884528, 20.8434345, 4339799.0657203, 19046.6156369, 3.7571158, 20.6691849, 4684583.2370654, 17687.9214592, 3.5678287, 20.5346624, 3838565.6475563, 17267.7103404, 3.3759779, 20.5879163, 4786279.3704374, 17241.8370579, 3.6881347, 20.6614841, 3608685.5530511, 17822.3697329, 3.5068553, 20.2959254, 4494191.452377, 18193.772203, 3.7581864, 20.8407951, 4805338.7771674, 18136.6255393, 3.6619036, 20.5677051, 4440024.4218309, 17685.8040503, 3.0542339, 20.5616406, 4283749.2107261, 18707.3207894, 3.888253, 21.0733491, 3436629.1252176, 17633.0415432, 3.3904469, 20.874722, 5687804.1016216, 17836.9260839, 4.0617972, 20.7716039, 4527086.5211598, 17887.9042939, 3.2312838, 20.7461056, 2952490.7781832, 17127.0396576, 3.4997193, 20.7449361, 4852195.2959511, 17688.0631051, 3.6548162, 20.7938044, 5040720.7295763
60, 17726.8467028, 3.7880222, 20.8048324, 3635022.1440914, 17709.9451825, 3.5356912, 20.5414116, 3705220.0477555, 18353.9737857, 3.756325, 20.2410681, 4717699.2091976, 17056.604344, 3.2475759, 20.6081517, 3805584.8491775, 17036.42546, 3.5531962, 20.6647269, 4737949.1991406, 17772.365799, 3.574173, 20.3361456, 4475480.7304141, 17648.4594785, 3.8980358, 20.6314483, 5584308.6495369, 17456.3396908, 3.909818, 20.926793, 3991979.4152664, 17709.7913526, 3.3384469, 20.6660691, 4449380.5064673, 17518.1237578, 4.2298903, 20.2081297, 4221047.823227, 16947.8482594, 3.6609049, 20.4534339, 4835669.3578166, 18072.2050156, 2.8972523, 20.1606682, 4066687.709952, 17831.9573349, 3.9094337, 20.3216523, 4671255.9617588, 18272.8650122, 3.4665317, 20.7781327, 4561088.9994748, 17037.5353061, 3.7778321, 20.5478426, 4307875.4015242, 17264.1538154, 3.1884528, 20.8434345, 4300223.40249, 18154.9345471, 3.7571158, 20.6604936, 4278797.3602359, 17687.9214592, 3.5678287, 20.5346624, 3838565.6475563, 17267.7103404, 3.1588624, 20.30909, 4647076.1930619, 17241.8370579, 3.0392887, 20.6614841, 3608685.5530511, 17822.3697329, 2.9879087, 20.2959254, 4480106.2064451, 18187.8085721, 3.6176052, 20.5780813, 4800588.6670848, 17421.4863412, 3.5606345, 20.5677051, 4440024.4218309, 17685.8040503, 3.0542339, 20.5315477, 3714267.9381202, 18466.0343251, 3.8838657, 20.8883235, 3238881.7068274, 17426.9663442, 3.2245307, 20.6406726, 4916406.7766621, 17777.2415742, 3.9558061, 20.611235, 4127458.0949648, 17774.1971866, 3.1227027, 20.7461056, 2952490.7781832, 17127.0396576, 3.4997193, 20.64605, 3997345.3298577, 17639.3273737, 3.6545167, 20.7938044, 5031759.5785305
80, 17726.8467028, 3.0230944, 20.6023536, 3240948.8780408, 17148.061493, 3.3226907, 20.0667212, 3705220.0477555, 18353.9737857, 3.6305555, 20.2410681, 4717699.2091976, 17056.604344, 3.041768, 20.5246386, 3258084.1800815, 17036.42546, 3.5531962, 20.6063707, 4172979.1344369, 17772.365799, 3.3491036, 19.7104838, 4291118.3871077, 17648.4594785, 3.8061338, 20.2319913, 4887210.2224513, 17456.3396908, 3.2756707, 20.7255868, 3626209.8753482, 17709.7913526, 3.3384469, 20.460486, 3873793.4340704, 17518.1237578, 3.2341095, 20.2081297, 4221047.823227, 16947.8482594, 3.410566, 19.7222827, 2671938.8928282, 17128.9412341, 2.8972523, 20.1606682, 2893227.9400589, 17772.3330601, 3.5202211, 20.0470881, 4223641.1530088, 18272.8650122, 3.4665317, 20.5711967, 3948765.3198706, 17037.5353061, 3.3458727, 20.4314034, 3924951.4549908, 17242.477016, 3.1884528, 20.7981288, 3329799.7350605, 17441.9885936, 3.6230179, 20.4722299, 3298075.2810705, 17102.0324018, 3.5678287, 20.2697405, 3372383.5870624, 17267.7103404, 2.8480527, 20.30909, 4550723.0675214, 17241.8370579, 3.0392887, 20.2940535, 3608685.5530511, 17822.3697329, 2.9879087, 19.4502371, 4030191.6499273, 16914.5038411, 3.4590595, 20.5439122, 2586999.9201779, 17421.4863412, 3.4871411, 20.5677051, 3123455.3817771, 17495.6266787, 3.0542339, 20.3973816, 3577342.4584233, 18126.620644, 3.6622713, 20.6513528, 3194261.0833337, 17426.9663442, 3.1291348, 20.6358664, 4426847.6942989, 17777.2415742, 3.0770168, 20.611235, 3939662.675133, 17774.1971866, 3.1227027, 20.60584, 2952490.7781832, 17127.0396576, 3.3120143, 20.3612531, 3460093.5572978, 17639.3273737, 3.2351203, 20.4139883, 4954353.5116322
100, 17707.9422071, 3.0230944, 20.2063515, 3191592.8981812, 17101.7900914, 3.3226907, 20.0416561, 3679215.9538336, 17582.1167875, 3.2127453, 20.2227566, 4030179.9970918, 17056.604344, 3.0216255, 19.8691197, 3258084.1800815, 17036.42546, 3.4143344, 20.5289833, 4162256.2987221, 17316.0752867, 3.3491036, 19.7086407, 3446033.4548253, 17357.5481098, 3.7959443, 20.2319913, 4449126.6572926, 17456.3396908, 3.2756707, 20.6024197, 2873762.1874892, 17705.2577149, 3.2090999, 20.460486, 3542514.6766245, 16633.4990349, 3.1857802, 20.0796327, 3586514.9222604, 16915.3724661, 3.3330666, 19.7222827, 2671938.8928282, 17071.8332934, 2.7667017, 20.047576, 2893227.9400589, 17760.5096144, 3.0990973, 20.0470881, 4001693.5729934, 17986.3718541, 3.4665317, 20.4811958, 3948765.3198706, 17036.2314151, 2.992868, 20.3723173, 3803173.9540962, 17200.4432416, 3.1844483, 20.7981288, 3329799.7350605, 17441.9885936, 3.4049797, 20.2751605, 2599826.2376852, 17102.0324018, 3.3838865, 20.2697405, 3220853.706949, 17263.4554512, 2.8480527, 20.30909, 4550723.0675214, 17241.8370579, 3.0392887, 20.1324344, 3608685.5530511, 17660.2748247, 2.9879087, 19.4502371, 3178727.257862, 16914.5038411, 3.2440404, 20.4347238, 2586999.9201779, 17421.4863412, 3.3782598, 20.446047, 3123455.3817771, 17219.3018096, 2.6484578, 20.3973816, 3577342.4584233, 17365.6339206, 3.4042761, 20.6513528, 2848323.1285404, 17426.9663442, 3.0455146, 20.0490621, 3639575.0292134, 17777.2415742, 3.0770168, 20.4565675, 3511271.4968574, 16941.5599467, 3.0314211, 20.4273192, 2952490.7781832, 16912.0941533, 3.1880177, 19.5425504, 3460093.5572978, 17621.5450387, 3.0583514, 20.3884335, 4954353.5116322
120, 16929.3578152, 2.8171408, 20.1403725, 2821100.9486513, 17101.7900914, 2.6819274, 20.0416561, 3091566.9106501, 17488.5006438, 3.1210072, 20.1013669, 4030179.9970918, 16400.3761215, 2.4397463, 19.6554826, 3004116.897995, 16665.6874622, 2.7171665, 20.4092201, 4100005.5483456, 17316.0752867, 2.6290486, 19.7086407, 2807058.6627097, 16910.0956171, 3.7569122, 19.8879349, 3694740.3874793, 17456.3396908, 3.023677, 20.1707827, 2873762.1874892, 16870.6231554, 2.6729998, 20.460486, 3542514.6766245, 16087.46565, 2.6693909, 19.7283889, 3544114.0013762, 16915.3724661, 3.1392092, 19.7222827, 2671938.8928282, 16643.0089078, 2.6799861, 19.9821919, 2893227.9400589, 17382.1306486, 2.7911153, 20.0470881, 3630729.874803, 17986.3718541, 3.1926576, 20.4201434, 3948765.3198706, 17036.2314151, 2.9078673, 19.9608472, 3444506.6477609, 17200.4432416, 2.6366173, 20.6766423, 3329799.7350605, 17441.9885936, 2.8994383, 19.8877711, 2599826.2376852, 17102.0324018, 2.7516576, 19.8813129, 3150508.4052424, 16690.2642091, 2.4328273, 19.8327376, 3536668.6749702, 17241.8370579, 3.0114135, 19.6384894, 2926906.4519909, 17660.2748247, 2.9879087, 19.4502371, 2561434.4078817, 16914.5038411, 2.749584, 20.1689777, 2586999.9201779, 17047.0717522, 2.843237, 20.2742949, 2957496.2887997, 17219.3018096, 2.5134073, 20.0202824, 3577342.4584233, 17365.6339206, 3.3963951, 20.2678046, 1935101.7786099, 16317.1716481, 2.8128704, 19.9799274, 3613224.7160609, 17465.9890441, 3.0770168, 19.8420664, 3140839.2381066, 16941.5599467, 2.6807588, 20.4273192, 2856843.8677025, 16912.0941533, 3.0171366, 19.5425504, 3460093.5572978, 16929.1709956, 2.5263881, 20.1019158, 3707034.9149269
140, 16928.7838912, 2.4931488, 20.1403725, 1968706.4835271, 17101.7900914, 2.6767743, 19.3572402, 3091566.9106501, 17488.5006438, 2.6017723, 20.0500229, 3319433.0291956, 16400.3761215, 2.0583631, 19.6554826, 2796231.1695985, 16665.6874622, 2.5645068, 20.0576509, 3668115.2831413, 17316.0752867, 2.6197093, 19.7086407, 2804532.651079, 16910.0956171, 3.0021663, 19.8217895, 3585013.0876458, 16387.4459321, 2.7633944, 19.6039185, 2741531.1067117, 16870.6231554, 2.668826, 19.8831289, 2992850.9364726, 16087.46565, 2.6693909, 19.7283889, 2865424.074534, 15650.608791, 3.1392092, 19.3049934, 2436702.9275139, 16643.0089078, 2.4233901, 19.9821919, 2893227.9400589, 16926.445095, 2.5696932, 20.0470881, 3086723.717346, 17986.3718541, 3.0188847, 20.2695426, 3561180.570498, 17036.2314151, 2.7507271, 19.5989064, 2815489.7808138, 17200.4432416, 2.6169239, 20.480458, 3162396.1728452, 17441.9885936, 2.8994383, 19.8834316, 2599826.2376852, 16960.6361011, 2.7516576, 19.7810826, 2981344.778069, 16659.4258925, 2.4094389, 19.6131352, 2793897.9712731, 17241.8370579, 2.9053497, 19.6384894, 2926906.4519909, 17660.2748247, 2.9331034, 19.4171898, 2146014.4039221, 16914.5038411, 2.4768362, 20.0385597, 2543559.517463, 17047.0717522, 2.843237, 20.2622489, 2942069.2550503, 17219.3018096, 2.5134073, 20.0202824, 3184874.7293682, 17365.6339206, 2.9967179, 20.2358009, 1935101.7786099, 16317.1716481, 2.7804995, 19.9799274, 3392798.233792, 17465.9890441, 3.0420881, 19.8420664, 2849416.8320135, 16941.5599467, 2.3750267, 20.1864043, 2856843.8677025, 16912.0941533, 2.8745689, 19.225207, 3267366.2455626, 16929.1709956, 2.2730814, 20.046973, 2938700.2644616
160, 16832.9525274, 2.4931488, 19.7500649, 1687434.6500293, 17101.7900914, 2.3795599, 19.3572402, 2715638.1234942, 17488.5006438, 2.5011543, 19.894944, 3015333.6845396, 15623.2964411, 2.0583631, 19.6554826, 2605142.9136052, 16665.6874622, 2.5645068, 19.3444573, 2626737.3818641, 16477.7809235, 2.6197093, 19.7086407, 2582887.5991026, 16910.0956171, 2.6209668, 19.8217895, 2865098.0011888, 16115.5551976, 2.6445995, 19.6039185, 1847544.7318151, 16870.6231554, 2.6480983, 19.8831289, 2819905.4648037, 16087.46565, 2.6106224, 19.7283889, 2308190.6881675, 15650.608791, 2.9041384, 19.3049934, 1774851.5656206, 16643.0089078, 1.9511225, 19.7688347, 2843571.0277585, 16926.445095, 2.5696932, 19.9093217, 2669787.3271552, 17065.5599731, 2.6659139, 19.9670357, 3047854.9118804, 16088.8415426, 2.3961271, 19.5989064, 2620652.1761385, 17008.4868918, 2.4857317, 20.2735442, 2599214.8572483, 17441.9885936, 2.879855, 19.2302561, 2374317.0763249, 16960.6361011, 2.6278177, 19.7327502, 2616037.4863484, 16659.4258925, 2.4094389, 19.5956095, 2351944.3789391, 17241.8370579, 2.8681716, 19.6384894, 2822418.9937055, 15098.3252788, 2.538723, 18.901456, 1901531.9898937, 16914.5038411, 2.4768362, 19.3092183, 2230284.118389, 17047.0717522, 2.7418686, 20.0485056, 2789947.1827649, 17219.3018096, 2.5084232, 19.4660328, 2859664.8222189, 16326.8142746, 2.42258, 19.5309098, 1935101.7786099, 16317.1716481, 2.5550287, 19.1264357, 2786418.0728005, 17465.9890441, 2.7135167, 19.8420664, 2849416.8320135, 16914.8388292, 2.2217083, 19.7031351, 2589057.4752363, 16912.0941533, 2.5645332, 19.225207, 2442872.3165765, 16929.1709956, 2.2730814, 19.7989421, 2938700.2644616
180, 16832.9525274, 2.2547677, 19.5427685, 1687434.6500293, 17101.7900914, 2.1873398, 19.2411628, 2671220.1032696, 17488.5006438, 2.5011543, 19.6502923, 2686373.5628015, 15623.2964411, 2.058081, 19.5425245, 2605142.9136052, 16137.6947117, 2.5645068, 19.3444573, 2626737.3818641, 16477.7809235, 2.2590004, 19.6761792, 2307730.3926202, 16910.0956171, 2.6126932, 19.5797606, 2865098.0011888, 16012.0038428, 2.6445995, 19.0504064, 1757180.7446154, 16870.6231554, 2.3476195, 19.803628, 2514625.9425879, 16087.46565, 2.5843552, 19.5548256, 2308190.6881675, 15650.608791, 2.4767869, 19.1416014, 1773117.7393636, 16643.0089078, 1.9511225, 19.7329213, 2284515.2415849, 16926.445095, 2.4680373, 19.532818, 2572124.8667179, 16995.0234575, 2.5922934, 19.5950361, 2454767.0678607, 16088.8415426, 2.393642, 18.7740521, 2604594.3771354, 17008.4868918, 2.2848199, 20.2735442, 2595983.4411061, 17441.9885936, 2.8150413, 19.2302561, 2222235.1911299, 16960.6361011, 2.6247846, 19.4718641, 2616037.4863484, 16659.4258925, 2.0458506, 19.2245578, 2171087.6774444, 17123.1662694, 2.7877334, 19.6384894, 2483611.6480567, 15098.3252788, 2.2510948, 18.8711646, 1901531.9898937, 16867.6410915, 2.3114424, 19.3092183, 2229576.1606033, 16114.299508, 2.7418686, 19.6848613, 2471614.6385975, 17219.3018096, 2.4865315, 19.2994109, 2743489.9878962, 16326.8142746, 2.1743995, 19.3186578, 1824604.8255037, 16317.1716481, 2.5500068, 19.1264357, 2762348.6842906, 17465.9890441, 2.3946362, 19.7314334, 2131349.3375496, 16914.8388292, 2.2217083, 19.5503315, 2279824.6034731, 15979.6721417, 2.454337, 18.8200909, 2208700.2540249, 16835.0787251, 2.2730814, 19.7989421, 2288457.5403579
200, 16832.9525274, 2.0315611, 19.4875516, 1442777.9527696, 17101.7900914, 2.1365598, 19.2411628, 2567757.3182437, 16145.5403729, 2.3743313, 19.4131258, 2458520.3641549, 15623.2964411, 1.9223452, 19.2519709, 2394884.6331703, 15997.8722449, 2.3241369, 18.5200869, 2626737.3818641, 16053.6953855, 2.1763725, 18.9815012, 2307730.3926202, 16910.0956171, 2.6126932, 19.4013689, 1785541.5514464, 15688.1278925, 2.3953347, 19.0502777, 1757180.7446154, 16248.2325803, 2.3476195, 19.7209825, 2174523.5735041, 16087.46565, 2.3147622, 19.0188745, 2308190.6881675, 15650.608791, 2.4767869, 18.7406226, 1711552.8237559, 16643.0089078, 1.9511225, 19.250144, 2284515.2415849, 16055.0469922, 2.3336139, 19.4380057, 2002131.3523928, 16995.0234575, 2.5922934, 19.5950361, 2454767.0678607, 15665.3953116, 2.3242351, 18.7740521, 2103637.0646974, 17008.4868918, 2.2848199, 19.2388534, 2299066.10139, 15674.1495253, 2.4475364, 18.7185981, 1751362.7597092, 16630.2671566, 2.5090537, 19.124871, 2274774.4191535, 15779.513367, 2.026021, 19.2245578, 1665976.7267212, 16758.751912, 2.5242011, 19.2062426, 2483611.6480567, 15098.3252788, 2.043195, 18.79513, 1901531.9898937, 16836.2158229, 2.3114424, 19.155593, 2229576.1606033, 16114.299508, 2.5018096, 19.6735788, 1788958.7895993, 16956.5910197, 2.0709343, 19.2994109, 2527181.6876999, 16326.8142746, 2.0827744, 19.2444802, 1712258.3374887, 16317.1716481, 2.0685097, 19.1264357, 2441118.9470054, 16311.4810678, 2.062631, 19.4161854, 2131349.3375496, 16914.8388292, 2.2217083, 19.5503315, 2279824.6034731, 15979.6721417, 2.2569988, 18.8200909, 2208700.2540249, 16154.3356344, 2.0816099, 19.1423581, 2252434.28667
