1000, 116666.1720769, 348096.1027878, 311836.0339025, 38.8249131, 3.7069156979241767E9, 21.4524478, 81.674772, 17950.7483699, 75.4950993, 85190.7917118, 122851.4871069, 325082.9138599, 264648.0155677, 41.3517629, 3.404083430907025E9, 21.4172359, 83.134769, 17299.5334509, 76.2410096, 81679.7644864, 100955.6259625, 331698.3604524, 358882.7148465, 40.9156646, 2.640900251330503E9, 21.4205275, 85.3469558, 17513.346946, 75.2522439, 75614.118734, 104503.426483, 289094.2793503, 322848.503655, 36.4761518, 3.873477246608148E9, 21.4362713, 84.6493949, 18061.1608244, 75.3238769, 92794.5872805, 117841.0739609, 329803.1402237, 352761.0248864, 40.3164728, 3.8363401722495894E9, 21.3336839, 83.5872759, 16758.0417705, 87.2551612, 88060.7494125, 111482.7413522, 293150.2893767, 339102.4073398, 38.9302924, 3.644355483313625E9, 21.3256277, 89.9731865, 17732.4655188, 79.9026532, 73557.1430907, 107129.9947151, 334165.4204825, 318547.1993853, 41.9612661, 3.033226006212381E9, 21.3702525, 83.9932689, 17372.1330489, 78.0563081, 82306.6525762, 109804.5548113, 339512.3616602, 319569.8897191, 37.570976, 3.4786934072986608E9, 21.433857, 87.6080025, 16745.2586646, 88.2937743, 74974.9085666, 116639.0412421, 344600.6653605, 275565.2898747, 41.1299898, 3.5763475314952626E9, 21.4284065, 86.5737846, 17708.0621961, 65.8838312, 79781.8888996, 113847.9543047, 325275.8607837, 294263.1489597, 39.4088429, 3.423888237655517E9, 21.4124205, 83.1954479, 18010.1912341, 92.442598, 72907.7968804
2000, 113877.4293516, 348096.1027878, 311836.0339025, 38.8249131, 3.3823159713483076E9, 21.3311379, 81.674772, 17718.9554425, 75.4950993, 83786.1596149, 118822.2511927, 310832.9729777, 256579.4856478, 37.0986406, 2.8284670668957305E9, 21.3439432, 82.1421523, 17299.5334509, 76.2410096, 81679.7644864, 93391.9024106, 248381.3805152, 353563.0737366, 37.0129265, 2.640900251330503E9, 21.3047091, 69.8764194, 17513.346946, 74.5290806, 53605.4184639, 104503.426483, 289094.2793503, 322848.503655, 36.4761518, 3.425768059223267E9, 21.4022449, 80.4903212, 17866.1321088, 71.2272966, 80185.6990451, 117841.0739609, 323404.814377, 333188.3585841, 38.0016589, 3.325837920011831E9, 21.2844239, 81.5826667, 16758.0417705, 79.3849967, 78106.3446707, 111482.7413522, 293150.2893767, 303288.8040923, 35.0263963, 3.644355483313625E9, 21.3140357, 84.6380575, 17630.6630739, 78.1451918, 67207.6487603, 95647.7500673, 273741.1501013, 295555.2531377, 38.9057966, 3.033226006212381E9, 21.3385832, 83.9932689, 17372.1330489, 78.0563081, 77088.4492668, 109804.5548113, 323564.7405737, 310980.9298528, 37.0737315, 3.4786934072986608E9, 21.3738488, 85.8292597, 16745.2586646, 76.0651804, 69697.1761446, 116639.0412421, 322417.7123727, 275565.2898747, 39.2049137, 3.5763475314952626E9, 21.3849582, 86.5464541, 17708.0621961, 65.8838312, 75968.4618303, 113095.7766526, 325275.8607837, 294263.1489597, 37.1572445, 3.423888237655517E9, 21.1625769, 83.1954479, 18010.1912341, 84.8650332, 72907.7968804
3000, 84166.1977547, 339712.7172521, 266727.4468452, 38.8249131, 3.3823159713483076E9, 21.3311379, 81.674772, 17718.9554425, 75.4929269, 64875.4852104, 114505.2751509, 298843.5413627, 219608.503176, 36.8453919, 2.8254646752675834E9, 21.2806659, 82.1421523, 17296.4613486, 72.711332, 68966.3847508, 89486.4189676, 241111.6006213, 289013.2995936, 37.0129265, 2.640900251330503E9, 21.3047091, 69.3922924, 17513.346946, 74.5290806, 53605.4184639, 103939.7362809, 286857.5663952, 302904.2927982, 34.5503491, 2.4225672541532006E9, 21.3963892, 80.4903212, 17866.1321088, 71.2272966, 80185.6990451, 104656.0739062, 288070.8569115, 279939.6864105, 38.0016589, 3.0171487099764953E9, 21.2844239, 81.5259857, 16758.0417705, 74.0360498, 73823.2839894, 108885.5823221, 275345.5061619, 300374.612794, 35.0263963, 3.2263556074346952E9, 21.3127188, 83.5911997, 17611.4933771, 67.1264727, 67207.6487603, 95647.7500673, 249648.3538777, 282026.7821133, 38.9057966, 2.7548626659394536E9, 21.3198445, 83.9932689, 16997.3923671, 78.0368337, 77088.4492668, 98352.8687604, 276156.1558794, 287297.8281295, 37.0737315, 2.429615234873996E9, 21.3738488, 85.8292597, 16381.1503446, 70.050593, 69697.1761446, 112120.2899238, 269914.7707339, 275565.2898747, 39.2049137, 3.445278497378057E9, 21.3849582, 86.1529626, 17708.0621961, 65.8838312, 74645.8873407, 107784.6563871, 261553.3356367, 281360.6315295, 37.1572445, 2.75196910897807E9, 21.1625769, 80.2973474, 17951.6674246, 75.9135249, 72832.2334677
4000, 84166.1977547, 300419.5674909, 266727.4468452, 37.7705895, 3.1148710142767024E9, 21.2407145, 77.2828014, 17241.6042025, 75.4929269, 64875.4852104, 112785.1177403, 261821.8259453, 219608.503176, 36.4409364, 2.8254646752675834E9, 21.2554973, 81.0113523, 17296.4613486, 61.6384372, 68966.3847508, 89486.4189676, 241111.6006213, 269873.1313173, 37.0129265, 2.640900251330503E9, 21.3047091, 69.3922924, 16589.4646954, 73.4112029, 53605.4184639, 102605.6716504, 274199.1115204, 267960.3472073, 34.5503491, 2.4225672541532006E9, 21.3027324, 79.5339483, 17503.9288491, 71.2272966, 80057.2736904, 104656.0739062, 264753.1331167, 247798.6327509, 36.5795633, 3.0171487099764953E9, 21.251309, 81.5259857, 16758.0417705, 73.1349855, 68870.5683438, 105616.2398143, 275345.5061619, 278935.6709604, 35.0263963, 3.2263556074346952E9, 21.3127188, 83.5911997, 15500.5246145, 64.6385168, 61802.5916975, 90983.0797787, 229344.8110544, 279325.0865337, 36.0964463, 2.7548626659394536E9, 21.3004722, 78.7247052, 16308.1551922, 72.6729359, 71334.3221264, 96456.7806659, 233094.6818866, 280885.0153478, 36.5145609, 2.429615234873996E9, 21.3616181, 83.2664257, 16381.1503446, 62.4016771, 60868.5689881, 94366.8694997, 247038.8605697, 249841.5993407, 34.5079718, 3.04192139589079E9, 21.3286197, 82.2204345, 16855.515894, 65.8838312, 71028.5132038, 104619.7369442, 261553.3356367, 260101.3264584, 35.6230007, 2.6140334790114975E9, 21.1625769, 80.2973474, 16188.5678772, 71.3875916, 72832.2334677
5000, 79609.3209392, 245740.785032, 223661.5288213, 37.7705895, 2.664265640660647E9, 21.2407145, 77.2828014, 16569.5817554, 70.7367631, 55625.9244837, 86150.4458796, 186077.7232389, 219608.503176, 36.4409364, 2.577519248290961E9, 21.2554973, 77.3272621, 16677.0215739, 61.6384372, 65635.7643413, 80731.0935281, 218969.7632517, 269873.1313173, 35.763311, 2.097770176842841E9, 21.3047091, 69.3922924, 15169.228552, 64.2689289, 53605.4184639, 82143.1988235, 218948.5300019, 229955.0961136, 34.5503491, 2.1428443420639057E9, 21.2737265, 79.5339483, 16748.2558444, 55.2442638, 70275.505951, 93409.1166839, 252472.2674229, 237179.5750421, 36.3498504, 2.2401617495285826E9, 21.251309, 81.4457697, 16662.970102, 67.9139421, 54017.9320986, 84895.3887742, 253571.9151587, 253036.2347557, 35.0263963, 2.7123197787415004E9, 21.3095058, 79.8950395, 15500.5246145, 58.2876613, 61280.3375822, 86749.5597703, 219773.039877, 252951.856581, 35.3392027, 2.3231575876195855E9, 21.2744557, 78.6842956, 15878.4215743, 69.6480721, 61236.9534156, 76388.8881545, 187273.0052901, 236134.2575129, 36.1033088, 2.429615234873996E9, 21.3616181, 83.2664257, 16381.1503446, 54.8506267, 56721.7571178, 94366.8694997, 231645.7072982, 245237.3443215, 34.3918322, 1.667596071335938E9, 21.3286197, 81.7698609, 16744.3678476, 63.8800871, 58505.5172832, 84390.9658742, 241448.7879015, 229729.0741475, 34.1921516, 2.3008268082603197E9, 21.1625769, 80.2973474, 16188.5678772, 68.166306, 64756.6234366
6000, 79609.3209392, 234475.403642, 223661.5288213, 34.0614273, 1.9714483461208284E9, 21.2407145, 75.6298263, 16282.4768124, 57.1279509, 55625.9244837, 86150.4458796, 186077.7232389, 219608.503176, 33.2035972, 1.6528869822183247E9, 21.2554973, 76.311865, 16551.877684, 55.9204077, 64025.4029245, 80731.0935281, 218969.7632517, 232308.6000461, 33.7594657, 2.097770176842841E9, 21.3047091, 69.3922924, 15169.228552, 58.1870812, 50827.4615093, 82143.1988235, 201512.2982415, 227292.3269837, 33.8289581, 2.1428443420639057E9, 21.2737265, 79.424045, 15965.1464614, 55.2442638, 70275.505951, 75850.1452826, 231870.9279699, 210244.8545944, 34.2347344, 2.2401617495285826E9, 21.251309, 73.827142, 16598.0455392, 65.8392755, 54017.9320986, 84895.3887742, 240338.6337087, 223705.5655836, 35.0263963, 2.7123197787415004E9, 21.3095058, 79.8950395, 15500.5246145, 52.6710944, 53592.6019394, 86749.5597703, 219773.039877, 245161.6752384, 34.2983818, 2.0210593095540504E9, 21.2744557, 74.6866457, 15878.4215743, 65.3850341, 57478.6697194, 76388.8881545, 187273.0052901, 236134.2575129, 34.0303816, 2.4085470412057705E9, 21.3177019, 76.229044, 16381.1503446, 54.8506267, 50896.7480863, 89727.4933615, 209180.8118402, 224330.5557017, 31.7671162, 1.667596071335938E9, 21.3277406, 76.9651129, 16744.3678476, 60.5870871, 58505.5172832, 84390.9658742, 230137.3521457, 212984.471781, 32.977661, 2.3008268082603197E9, 21.1625769, 74.4677705, 16139.8469353, 58.4274346, 50927.3699424
7000, 71527.3838007, 200307.7019078, 215850.6292581, 34.0614273, 1.603918954241562E9, 21.2407145, 75.486173, 16251.777043, 56.4302887, 42171.9922119, 84502.966163, 170521.6084786, 216092.7762959, 33.2035972, 1.6528869822183247E9, 21.2554973, 75.037499, 16375.7875209, 53.9184102, 59259.8183634, 69866.0882888, 203806.8166409, 215735.0519889, 33.7594657, 2.0680293892674527E9, 21.300795, 69.3922924, 15169.228552, 52.2590736, 34208.8841876, 77597.8285938, 201512.2982415, 204180.5288794, 33.8289581, 1.800576330039873E9, 21.2737265, 77.3994962, 15965.1464614, 48.6927279, 58363.799556, 75850.1452826, 190259.59236, 184444.0904006, 31.1852118, 2.0638877701289735E9, 21.251309, 73.827142, 16567.6577338, 60.7225187, 53821.9935078, 75750.5348136, 223398.1956189, 223705.5655836, 34.643583, 1.9346091332428071E9, 21.2810208, 79.1310782, 15500.5246145, 45.2970827, 46055.11212, 80606.5425934, 185181.080006, 200499.5544766, 34.2983818, 1.4672142374571674E9, 21.2742599, 74.6866457, 15878.4215743, 61.807054, 48977.0294551, 70659.5335083, 187273.0052901, 192993.4300088, 32.219838, 1.8655946754910977E9, 21.3177019, 76.229044, 16381.1503446, 47.7521679, 50896.7480863, 77101.3170649, 175362.6577164, 162989.5990154, 31.7671162, 1.6512463678765554E9, 21.2223182, 76.9651129, 16744.3678476, 45.4687642, 53946.7557622, 84390.9658742, 208362.9430144, 163209.351223, 32.977661, 2.2008081587932553E9, 21.1625769, 74.4677705, 16139.8469353, 52.4955138, 46778.6838496
8000, 71527.3838007, 199240.7142269, 192369.2189504, 34.0614273, 1.603918954241562E9, 21.2407145, 69.416737, 16251.777043, 55.9590332, 41076.3705613, 83388.6254356, 167806.7830084, 208452.8783821, 31.2962768, 1.6528869822183247E9, 21.2554973, 74.0209256, 16375.7875209, 47.6757805, 53496.0302513, 69866.0882888, 136761.0074635, 168100.9385699, 32.2054775, 1.6599084492074382E9, 21.300795, 69.3922924, 15169.228552, 44.2606929, 33963.3904778, 63567.6042022, 183343.71761, 203677.6098307, 33.6739473, 1.2681408033933864E9, 21.271317, 77.277821, 15965.1464614, 42.456531, 58363.799556, 75850.1452826, 190259.59236, 184444.0904006, 30.64369, 1.64234394478635E9, 21.2408175, 72.2019262, 16567.6577338, 51.6736877, 46412.8553619, 75750.5348136, 190759.1229093, 187309.1268327, 32.2967458, 1.9346091332428071E9, 21.2810208, 74.8771641, 15500.5246145, 45.2970827, 40730.848685, 77822.2010944, 185181.080006, 190300.0021106, 30.961134, 1.4672142374571674E9, 21.2742599, 74.0856707, 15498.8571767, 52.5700032, 48977.0294551, 70659.5335083, 177574.053827, 192993.4300088, 32.0910892, 1.5391054120515742E9, 21.2802594, 71.0512264, 15668.3574011, 46.0433115, 50896.7480863, 77101.3170649, 175362.6577164, 162989.5990154, 31.7671162, 1.6512463678765554E9, 21.2223182, 73.5507833, 16744.3678476, 45.4687642, 50783.5658091, 78767.6349685, 202445.7930327, 163209.351223, 31.3953299, 1.5530635557623897E9, 21.1625769, 74.4677705, 15829.8028993, 51.5133451, 42543.3222623
9000, 69195.3976893, 177725.4780947, 172987.4923678, 33.5063678, 1.603918954241562E9, 21.2407145, 69.416737, 15946.3238717, 46.0415278, 35824.7507323, 68566.8358867, 167806.7830084, 169182.2074059, 31.2962768, 1.3218389916116927E9, 21.2554973, 74.0209256, 16375.7875209, 33.8643609, 53496.0302513, 69866.0882888, 136738.4922433, 161908.3495665, 31.7220551, 1.307344377280802E9, 21.2113027, 69.3922924, 15169.228552, 34.1196116, 33963.3904778, 57317.1874091, 162182.5880866, 137964.7336581, 29.6707301, 1.2681408033933864E9, 21.271317, 75.9204594, 15965.1464614, 38.5622316, 53608.3589968, 75850.1452826, 175707.5832905, 184444.0904006, 30.64369, 1.539547011137696E9, 21.2408175, 70.323344, 16567.6577338, 51.6736877, 45479.2348088, 65159.8099691, 190759.1229093, 166065.6431047, 32.1982592, 8.92655736765715E8, 21.2810208, 74.8771641, 15456.7191572, 38.5585262, 35470.4014065, 61982.3764446, 168685.0435722, 190300.0021106, 30.6692333, 1.4672142374571674E9, 21.2742599, 74.0856707, 15498.8571767, 49.2564625, 44729.4219329, 63366.8364224, 176520.3880248, 177939.695333, 32.0705184, 1.5391054120515742E9, 21.2802594, 71.0512264, 15668.3574011, 41.2696066, 50896.7480863, 68686.4576216, 174231.0226906, 142534.0202052, 31.7671162, 1.392955658844559E9, 21.2223182, 73.5507833, 16744.3678476, 45.4687642, 50783.5658091, 76844.6511674, 178854.248664, 163209.351223, 31.3953299, 1.436433419216981E9, 21.1625769, 74.4677705, 15829.8028993, 41.9442516, 39235.0170907
10000, 69195.3976893, 163053.713051, 161434.5651858, 32.5129172, 1.3634912535912156E9, 21.2407145, 69.416737, 15946.3238717, 34.6557686, 33976.9003293, 68566.8358867, 145721.7653563, 153420.896486, 31.2962768, 1.3218389916116927E9, 21.2554973, 71.2423074, 16375.7875209, 33.8643609, 42741.3959736, 62861.4111893, 136738.4922433, 161908.3495665, 31.7220551, 1.307344377280802E9, 21.2113027, 69.3922924, 15169.228552, 34.1196116, 33963.3904778, 57317.1874091, 153797.0940116, 137964.7336581, 29.6707301, 1.2681408033933864E9, 21.271317, 73.1622201, 15965.1464614, 38.5622316, 52544.5666117, 69489.5080533, 144174.5907459, 159672.0846058, 30.4130551, 1.3498901802026782E9, 21.2408175, 70.323344, 16567.6577338, 51.6736877, 29802.3562914, 65159.8099691, 148301.7810321, 150827.0029776, 30.8889908, 8.92655736765715E8, 21.2810208, 71.5262074, 15456.7191572, 38.5585262, 35402.2634279, 61982.3764446, 146210.1663608, 149951.4006758, 30.6692333, 1.4672142374571674E9, 21.1144922, 71.5305749, 15498.8571767, 43.7884507, 40011.0962727, 63118.1100555, 156942.2361188, 173425.5155041, 31.286753, 1.0041749659450966E9, 21.1194565, 71.0512264, 15668.3574011, 36.4408607, 43752.5027532, 68686.4576216, 160572.6828053, 142534.0202052, 31.7671162, 1.392955658844559E9, 21.2223182, 68.8416944, 16451.3345651, 39.8630891, 44883.9155449, 63767.7451922, 168382.9599713, 149277.7419205, 30.6926731, 1.208575366654521E9, 21.1625769, 74.4677705, 15039.0969226, 40.6279796, 38219.0072012
